id,title,price,currency,mileage,year,make,gearbox,engine,drive,fuel,color,origin,images,description
car001,2020 Audi A7 Black Edition Quattro - White,45000.00,JOD,47000,2020,Audi,Automatic,2000 cc turbo mild hybrid,-,Mild hybrid petrol,White,-,,Sport Audi Audi A7 Black Edition Quattro in White (2000 cc turbo mild hybrid)
car002,2019 Audi Q8 S-Line - Black,55000.00,JOD,29000,2019,Audi,Automatic,3000 cc petrol,-,Petrol,Black,-,,SUV Audi Audi Q8 S in Black (3000 cc petrol)
car003,2022 Audi Q5 e-tron - White,40000.00,JOD,10000,2022,Audi,Automatic,Full electric,-,Electric,White,-,,SUV Audi Audi Q5 e in White (Full electric)
car004,2022 Audi e-tron S line - Gray,38000.00,JOD,27000,2022,Audi,Automatic,Full electric,-,Electric,Gray,-,,Sedan Audi Audi e in Gray (Full electric)
car005,2022 BMW X4 - Brooklyn Grey Metallic,55000.00,JOD,17000,2022,BMW,Automatic,2000 cc petrol,-,Petrol,Brooklyn Grey Metallic,-,,Sedan BMW BMW X4 in Brooklyn Grey Metallic (2000 cc petrol)
car006,2023 BMW X4 - Carbon Black,58000.00,JOD,28000,2023,BMW,Automatic,2000 cc petrol,-,Petrol,Carbon Black,-,,Sedan BMW BMW X4 in Carbon Black (2000 cc petrol)
car007,2023 BMW X6 - Grey,75000.00,JOD,0,2023,BMW,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Grey,-,,SUV BMW BMW X6 in Grey (3000 cc mild hybrid)
car008,2025 BMW X6 - Carpathian Grey,85000.00,JOD,0,2025,BMW,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Carpathian Grey,-,,SUV BMW BMW X6 in Carpathian Grey (3000 cc mild hybrid)
car009,2024 BMW X6 - Frozen Pure Grey Metallic,80000.00,JOD,22000,2024,BMW,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Frozen Pure Grey Metallic,-,,SUV BMW BMW X6 in Frozen Pure Grey Metallic (3000 cc mild hybrid)
car010,2025 BMW X5 - Pearl White,85000.00,JOD,0,2025,BMW,Automatic,3000 cc petrol,-,Petrol,Pearl White,-,,SUV BMW BMW X5 in Pearl White (3000 cc petrol)
car011,2024 BMW X5 xDrive40i - Skyscraper Grey Metallic,80000.00,JOD,0,2024,BMW,Automatic,3000 cc petrol,-,Petrol,Skyscraper Grey Metallic,-,,SUV BMW BMW X5 xDrive40i in Skyscraper Grey Metallic (3000 cc petrol)
car012,2025 BMW X5 xDrive40i - Black,85000.00,JOD,0,2025,BMW,Automatic,3000 cc petrol,-,Petrol,Black,-,,SUV BMW BMW X5 xDrive40i in Black (3000 cc petrol)
car013,2024 BMW X7 - Dravit Grey Metallic,100000.00,JOD,1500,2024,BMW,Automatic,3000 cc petrol,-,Petrol,Dravit Grey Metallic,-,,SUV BMW BMW X7 in Dravit Grey Metallic (3000 cc petrol)
car014,2023 BMW X7 xDrive40i - Brooklyn Grey Metallic,95000.00,JOD,0,2023,BMW,Automatic,3000 cc petrol,-,Petrol,Brooklyn Grey Metallic,-,,SUV BMW BMW X7 xDrive40i in Brooklyn Grey Metallic (3000 cc petrol)
car015,2023 BMW iX xDrive40 - Maroon,80000.00,JOD,0,2023,BMW,Automatic,Full electric,-,Electric,Maroon,-,,Sedan BMW BMW iX xDrive40 in Maroon (Full electric)
car016,2025 BMW 430i - Frozen Blue,55000.00,JOD,0,2025,BMW,Automatic,2000 cc petrol,-,Petrol,Frozen Blue,-,,Sedan BMW BMW 430i in Frozen Blue (2000 cc petrol)
car017,2025 BMW 520 - Frozen Black,50000.00,JOD,0,2025,BMW,Automatic,2000 cc mild hybrid,-,Mild hybrid petrol,Frozen Black,-,,Sedan BMW BMW 520 in Frozen Black (2000 cc mild hybrid)
car018,2025 BMW 520i - Blue,50000.00,JOD,0,2025,BMW,Automatic,2000 cc mild hybrid,-,Mild hybrid petrol,Blue,-,,Sedan BMW BMW 520i in Blue (2000 cc mild hybrid)
car019,2026 BMW 530i - Mineral White,55000.00,JOD,0,2026,BMW,Automatic,2000 cc mild hybrid,-,Mild hybrid petrol,Mineral White,-,,Sedan BMW BMW 530i in Mineral White (2000 cc mild hybrid)
car020,2026 BMW 530i - Oxide Grey,55000.00,JOD,0,2026,BMW,Automatic,2000 cc mild hybrid,-,Mild hybrid petrol,Oxide Grey,-,,Sedan BMW BMW 530i in Oxide Grey (2000 cc mild hybrid)
car022,2026 BMW 530 - Pearl White,54000.00,JOD,0,2026,BMW,Automatic,2000 cc mild hybrid,-,Mild hybrid petrol,Pearl White,-,,Sedan BMW BMW 530 in Pearl White (2000 cc mild hybrid)
car023,2026 BMW 530 - Frozen Black,54000.00,JOD,0,2026,BMW,Automatic,2000 cc mild hybrid,-,Mild hybrid petrol,Frozen Black,-,,Sedan BMW BMW 530 in Frozen Black (2000 cc mild hybrid)
car024,2024 BMW i5 eDrive40 - Pearl White,75000.00,JOD,6000,2024,BMW,Automatic,Full electric,-,Electric,Pearl White,-,,Sedan BMW BMW i5 eDrive40 in Pearl White (Full electric)
car025,2024 BMW i4 M50 Gran Coupé - Dravit Grey Metallic,70000.00,JOD,0,2024,BMW,Automatic,Full electric,-,Electric,Dravit Grey Metallic,-,,Sport BMW BMW i4 M50 Gran Coupé in Dravit Grey Metallic (Full electric)
car026,2024 BMW 735i - Carbon Black,100000.00,JOD,0,2024,BMW,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Carbon Black,-,,Sedan BMW BMW 735i in Carbon Black (3000 cc mild hybrid)
car027,2023 BMW 735i - Black,95000.00,JOD,2800,2023,BMW,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Black,-,,Sedan BMW BMW 735i in Black (3000 cc mild hybrid)
car028,2023 BMW 735i - Two-Tone Oxide Grey Sapphire Black,98000.00,JOD,0,2023,BMW,Automatic,3000 cc mild hybrid,-,Mild hybrid petrol,Two-tone Oxide Grey / Sapphire Black,-,,Sedan BMW BMW 735i in Two-tone Oxide Grey / Sapphire Black (3000 cc mild hybrid)
car029,2026 BMW 735i - Individual Frozen Deep Grey,110000.00,JOD,0,2026,BMW,Automatic,3000 cc petrol,-,Petrol,Individual Frozen Deep Grey Metallic,-,,Sedan BMW BMW 735i in Individual Frozen Deep Grey Metallic (3000 cc petrol)
car030,2017 BMW X6M - Black,70000.00,JOD,39000,2017,BMW,Automatic,4400 cc twin turbo,-,Petrol,Black,-,,SUV BMW BMW X6M in Black (4400 cc twin turbo)
car031,2024 BYD Song L E1 - Grey,30000.00,JOD,20000,2024,BYD,Automatic,Full electric,-,Electric,Grey,-,,Sedan BYD BYD Song L E1 in Grey (Full electric)
car032,2021 Cadillac Escalade Sport - Black,90000.00,JOD,0,2021,Cadillac,Automatic,6200 cc petrol,-,Petrol,Black,-,,SUV Cadillac Cadillac Escalade Sport in Black (6200 cc petrol)
car033,2024 Cadillac Escalade Sport - Black,110000.00,JOD,34000,2024,Cadillac,Automatic,6200 cc petrol,-,Petrol,Black,-,,SUV Cadillac Cadillac Escalade Sport in Black (6200 cc petrol)
car034,2024 Changan Avatr 12 - Grey,38000.00,JOD,0,2024,Changan,Automatic,Full electric,-,Electric,Grey,-,,Sedan Changan Changan Avatr 12 in Grey (Full electric)
car035,2023 Changan Avatr 11 - Green Metallic,37000.00,JOD,14000,2023,Changan,Automatic,Full electric,-,Electric,Green Metallic,-,,Sedan Changan Changan Avatr 11 in Green Metallic (Full electric)
car036,2023 Changan Avatr 11 - Black,36500.00,JOD,16000,2023,Changan,Automatic,Full electric,-,Electric,Black,-,,Sedan Changan Changan Avatr 11 in Black (Full electric)
car037,2023 Changan Avatr 12 - Eggplant,36000.00,JOD,14000,2023,Changan,Automatic,Full electric,-,Electric,Eggplant,-,,Sedan Changan Changan Avatr 12 in Eggplant (Full electric)
car038,2023 Changan UN-T - Grey,30000.00,JOD,23000,2023,Changan,Automatic,2000 cc petrol,-,Petrol,Grey,-,,Sedan Changan Changan UN in Grey (2000 cc petrol)
car039,2025 Ferrari 296 GTS - Black,370000.00,JOD,0,2025,Ferrari,Automatic,3000 cc plug-in hybrid,-,Plug-in hybrid,Black,-,,Sport Ferrari Ferrari 296 GTS in Black (3000 cc plug-in hybrid)
car040,2024 Ferrari 296 GTB - Red,350000.00,JOD,0,2024,Ferrari,Automatic,3000 cc plug-in hybrid,-,Plug-in hybrid,Red,-,,Sport Ferrari Ferrari 296 GTB in Red (3000 cc plug-in hybrid)
car041,2024 Jaguar F-PACE - Fuji White,55000.00,JOD,0,2024,Jaguar,Automatic,2000 cc petrol,-,Petrol,Fuji White,-,,SUV Jaguar Jaguar F in Fuji White (2000 cc petrol)
car042,2021 Jeep Wrangler Unlimited Rubicon - Olive Green,45000.00,JOD,19000,2021,Jeep,Automatic,2000 cc petrol,-,Petrol,Olive Green,-,,SUV Jeep Jeep Wrangler Unlimited Rubicon in Olive Green (2000 cc petrol)
car043,2022 Jeep Sahara 4xe Plug-in - Grey,48000.00,JOD,24000,2022,Jeep,Automatic,2000 cc plug-in hybrid,-,Plug-in hybrid,Grey,-,,SUV Jeep Jeep Sahara 4xe Plug in Grey (2000 cc plug-in hybrid)
car044,2023 Kia EV6 GT Line - Black,40000.00,JOD,700,2023,Kia,Automatic,Full electric,-,Electric,Black,-,,SUV Kia Kia EV6 GT Line in Black (Full electric)
car045,2025 Land Rover Defender X-Dynamic P400e - White,80000.00,JOD,0,2025,Land Rover,Automatic,2000 cc plug-in hybrid,-,Plug-in hybrid,White,-,,SUV Land Rover Land Rover Defender X in White (2000 cc plug-in hybrid)
car046,2025 Land Rover Defender X-Dynamic P400e - Black,80000.00,JOD,0,2025,Land Rover,Automatic,2000 cc plug-in hybrid,-,Plug-in hybrid,Black,-,,SUV Land Rover Land Rover Defender X in Black (2000 cc plug-in hybrid)
car047,2025 Land Rover Defender X-Dynamic P400e - Grey,80000.00,JOD,0,2025,Land Rover,Automatic,2000 cc plug-in hybrid,-,Plug-in hybrid,Grey,-,,SUV Land Rover Land Rover Defender X in Grey (2000 cc plug-in hybrid)
